fixture_name,execution_time,memory_usage(mo)
german_credit_test_data,0.028,0.000
german_credit_model,0.011,0.000
set_rnd_seed_before_test,0.002,0.000
german_credit_test_data,0.016,0.000
german_credit_model,0.011,0.000
set_rnd_seed_before_test,0.002,0.000
german_credit_test_data,0.028,0.000
german_credit_model,0.011,0.000
set_rnd_seed_before_test,0.002,0.000
german_credit_test_data,0.017,0.000
german_credit_model,0.010,0.000
set_rnd_seed_before_test,0.002,0.000
german_credit_test_data,0.017,0.000
german_credit_model,0.010,0.000
set_rnd_seed_before_test,0.002,0.000
german_credit_test_data,0.016,0.000
german_credit_model,0.012,0.000
set_rnd_seed_before_test,0.002,0.000
set_rnd_seed_before_test,0.002,0.000
german_credit_test_data,0.017,0.000
german_credit_model,0.011,0.000
set_rnd_seed_before_test,0.002,0.000
german_credit_test_data,0.017,0.000
german_credit_model,0.011,0.000
set_rnd_seed_before_test,0.001,0.000
german_credit_test_data,0.018,0.000
german_credit_model,0.011,0.000
set_rnd_seed_before_test,0.002,0.000
german_credit_test_data,0.019,0.000
german_credit_model,0.011,0.000
set_rnd_seed_before_test,0.002,0.000
german_credit_test_data,0.028,0.000
german_credit_model,0.010,0.000
set_rnd_seed_before_test,0.002,0.000
diabetes_dataset_with_target,0.017,0.000
linear_regression_diabetes,0.015,0.000
set_rnd_seed_before_test,0.002,0.000
loc_pop,0.000,0.000
scale_pop,0.000,0.000
loc_perturb,0.000,0.000
scale_perturb,0.000,0.000
direction,0.000,0.000
window_size,0.000,0.000
critical_quantile,0.000,0.000
set_rnd_seed_before_test,0.001,0.000
loc_pop,0.000,0.000
scale_pop,0.000,0.000
loc_perturb,0.000,0.000
scale_perturb,0.000,0.000
direction,0.000,0.000
window_size,0.000,0.000
critical_quantile,0.000,0.000
set_rnd_seed_before_test,0.001,0.000
loc_pop,0.000,0.000
scale_pop,0.000,0.000
loc_perturb,0.000,0.000
scale_perturb,0.000,0.000
direction,0.000,0.000
window_size,0.000,0.000
critical_quantile,0.000,0.000
set_rnd_seed_before_test,0.001,0.000
loc_pop,0.000,0.000
scale_pop,0.000,0.000
loc_perturb,0.000,0.000
scale_perturb,0.000,0.000
direction,0.000,0.000
window_size,0.000,0.000
critical_quantile,0.000,0.000
set_rnd_seed_before_test,0.001,0.000
loc_pop,0.000,0.000
scale_pop,0.000,0.000
loc_perturb,0.000,0.000
scale_perturb,0.000,0.000
direction,0.000,0.000
window_size,0.000,0.000
critical_quantile,0.000,0.000
set_rnd_seed_before_test,0.001,0.000
loc_pop,0.000,0.000
scale_pop,0.000,0.000
loc_perturb,0.000,0.000
scale_perturb,0.000,0.000
direction,0.000,0.000
window_size,0.000,0.000
critical_quantile,0.000,0.000
set_rnd_seed_before_test,0.002,0.000
german_credit_test_data,0.015,0.000
german_credit_model,0.010,0.000
set_rnd_seed_before_test,0.003,0.000
german_credit_test_data,0.028,0.000
german_credit_model,0.010,0.000
set_rnd_seed_before_test,0.002,0.000
german_credit_test_data,0.017,0.000
german_credit_model,0.011,0.000
set_rnd_seed_before_test,0.002,0.000
german_credit_test_data,0.027,0.000
german_credit_model,0.011,0.000
set_rnd_seed_before_test,0.002,0.000
set_rnd_seed_before_test,0.002,0.004
model,0.000,0.000
data,0.000,0.000
threshold,0.000,0.000
expected_metric,0.000,0.000
actual_slices_size,0.000,0.000
german_credit_model,0.013,0.074
german_credit_data,0.015,0.012
set_rnd_seed_before_test,0.002,0.000
model,0.000,0.000
data,0.000,0.000
threshold,0.000,0.000
expected_metric,0.001,0.000
actual_slices_size,0.000,0.000
enron_model,0.031,0.000
enron_data,0.005,0.016
set_rnd_seed_before_test,0.001,0.000
model,0.000,0.000
data,0.000,0.000
threshold,0.000,0.000
expected_metric,0.000,0.000
actual_slices_size,0.000,0.000
german_credit_model,0.014,0.000
german_credit_data,0.013,0.000
set_rnd_seed_before_test,0.001,0.000
model,0.000,0.000
data,0.000,0.000
threshold,0.000,0.000
expected_metric,0.000,0.000
actual_slices_size,0.000,0.000
enron_model,0.012,0.000
enron_data,0.007,0.000
set_rnd_seed_before_test,0.001,0.000
model,0.000,0.000
data,0.000,0.000
threshold,0.000,0.000
expected_metric,0.000,0.000
actual_slices_size,0.000,0.000
enron_data,0.006,0.000
enron_model,0.012,0.000
set_rnd_seed_before_test,0.001,0.000
model,0.000,0.000
data,0.000,0.000
threshold,0.000,0.000
expected_metric,0.000,0.000
